"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043374","GO:0043374","CD8-positive, alpha-beta T cell differentiation","3/90","16/21092",4.04142103104274e-05,0.060136344941916,0.053644546527841,"Runx1/Zbtb7b/Satb1",3
"GO:0036037","GO:0036037","CD8-positive, alpha-beta T cell activation","3/90","27/21092",0.00020403920868576,0.102527861694892,0.0914598426692553,"Runx1/Zbtb7b/Satb1",3
"GO:0043367","GO:0043367","CD4-positive, alpha-beta T cell differentiation","4/90","80/21092",0.0003827567203486,0.102527861694892,0.0914598426692553,"Runx1/Cd83/Zbtb7b/Satb1",4
"GO:0046660","GO:0046660","female sex differentiation","5/90","147/21092",0.000419445200516322,0.102527861694892,0.0914598426692553,"Arid5b/Lhfpl2/Runx1/Nrip1/Chd7",5
"GO:0045582","GO:0045582","positive regulation of T cell differentiation","4/90","94/21092",0.000705275474538506,0.102527861694892,0.0914598426692553,"Runx1/Cd83/Zbtb7b/Il2ra",4
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation","4/90","96/21092",0.000763329980731468,0.102527861694892,0.0914598426692553,"Runx1/Cd83/Zbtb7b/Satb1",4
"GO:0030217","GO:0030217","T cell differentiation","6/90","264/21092",0.000939885811931738,0.102527861694892,0.0914598426692553,"Runx1/Chd7/Cd83/Zbtb7b/Satb1/Il2ra",6
"GO:0002664","GO:0002664","regulation of T cell tolerance induction","2/90","11/21092",0.000965841801873362,0.102527861694892,0.0914598426692553,"Runx1/Il2ra",2
"GO:0050798","GO:0050798","activated T cell proliferation","3/90","47/21092",0.00106351591322522,0.102527861694892,0.0914598426692553,"Lrrc32/Satb1/Il2ra",3
"GO:0042110","GO:0042110","T cell activation","8/90","485/21092",0.00109998090385491,0.102527861694892,0.0914598426692553,"Runx1/Cxcr4/Chd7/Lrrc32/Cd83/Zbtb7b/Satb1/Il2ra",8
"GO:0045621","GO:0045621","positive regulation of lymphocyte differentiation","4/90","108/21092",0.00118454034995425,0.102527861694892,0.0914598426692553,"Runx1/Cd83/Zbtb7b/Il2ra",4
"GO:0046638","GO:0046638","positive regulation of alpha-beta T cell differentiation","3/90","49/21092",0.00120099196387576,0.102527861694892,0.0914598426692553,"Runx1/Cd83/Zbtb7b",3
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","5/90","187/21092",0.00124129117752334,0.102527861694892,0.0914598426692553,"Ubash3b/Runx1/Lrrc32/Zbtb7b/Il2ra",5
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","4/90","110/21092",0.00126784491241743,0.102527861694892,0.0914598426692553,"Runx1/Cd83/Zbtb7b/Satb1",4
"GO:0043370","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","3/90","50/21092",0.00127372940303365,0.102527861694892,0.0914598426692553,"Runx1/Cd83/Zbtb7b",3
"GO:0007162","GO:0007162","negative regulation of cell adhesion","6/90","283/21092",0.00134249746488236,0.102527861694892,0.0914598426692553,"Ubash3b/Runx1/Lrrc32/Phldb2/Zbtb7b/Il2ra",6
"GO:0002517","GO:0002517","T cell tolerance induction","2/90","13/21092",0.00136215208054343,0.102527861694892,0.0914598426692553,"Runx1/Il2ra",2
"GO:0036376","GO:0036376","sodium ion export across plasma membrane","2/90","13/21092",0.00136215208054343,0.102527861694892,0.0914598426692553,"Atp1b3/Atp1b1",2
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","7/90","392/21092",0.0014446326243779,0.102527861694892,0.0914598426692553,"Ubash3b/Runx1/Lrrc32/Cd83/Magi2/Zbtb7b/Il2ra",7
"GO:0007589","GO:0007589","body fluid secretion","4/90","114/21092",0.0014466054528633,0.102527861694892,0.0914598426692553,"Prlr/Xdh/Tac4/Zbtb7b",4
"GO:0046545","GO:0046545","development of primary female sexual characteristics","4/90","116/21092",0.00154226520266022,0.102527861694892,0.0914598426692553,"Arid5b/Lhfpl2/Runx1/Nrip1",4
"GO:0050866","GO:0050866","negative regulation of cell activation","5/90","197/21092",0.00156226706117931,0.102527861694892,0.0914598426692553,"Ubash3b/Runx1/Lrrc32/Zbtb7b/Il2ra",5
"GO:0030007","GO:0030007","cellular potassium ion homeostasis","2/90","14/21092",0.00158477205576783,0.102527861694892,0.0914598426692553,"Atp1b3/Atp1b1",2
"GO:0050868","GO:0050868","negative regulation of T cell activation","4/90","120/21092",0.00174665113253344,0.105237455168563,0.0938769319238523,"Runx1/Lrrc32/Zbtb7b/Il2ra",4
"GO:0043584","GO:0043584","nose development","2/90","15/21092",0.00182351571820639,0.105237455168563,0.0938769319238523,"Hesx1/Chd7",2
"GO:0006816","GO:0006816","calcium ion transport","7/90","409/21092",0.00183882650160123,0.105237455168563,0.0938769319238523,"Ubash3b/Cxcr4/Chd7/Panx1/Ctgf/Cdh23/Atp1b1",7
"GO:0042098","GO:0042098","T cell proliferation","5/90","208/21092",0.00198177097624249,0.109217600468475,0.0974274152452937,"Cxcr4/Lrrc32/Zbtb7b/Satb1/Il2ra",5
"GO:0007595","GO:0007595","lactation","3/90","61/21092",0.00226116870310353,0.117495742544199,0.10481192087453,"Prlr/Xdh/Zbtb7b",3
"GO:2001185","GO:2001185","regulation of CD8-positive, alpha-beta T cell activation","2/90","17/21092",0.00234882071954837,0.117495742544199,0.10481192087453,"Runx1/Zbtb7b",2
"GO:2000514","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","3/90","62/21092",0.00236886577710079,0.117495742544199,0.10481192087453,"Runx1/Cd83/Zbtb7b",3
"GO:1903038","GO:1903038","negative regulation of leukocyte cell-cell adhesion","4/90","133/21092",0.00254001251267477,0.121920600608389,0.108759109625905,"Runx1/Lrrc32/Zbtb7b/Il2ra",4
"GO:0002643","GO:0002643","regulation of tolerance induction","2/90","19/21092",0.00293696894647433,0.129320231102719,0.115359940167324,"Runx1/Il2ra",2
"GO:0006883","GO:0006883","cellular sodium ion homeostasis","2/90","19/21092",0.00293696894647433,0.129320231102719,0.115359940167324,"Atp1b3/Atp1b1",2
"GO:0046637","GO:0046637","regulation of alpha-beta T cell differentiation","3/90","67/21092",0.00295489775369117,0.129320231102719,0.115359940167324,"Runx1/Cd83/Zbtb7b",3
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","3/90","68/21092",0.00308182007027437,0.131021378987665,0.116877446875669,"Runx1/Cd83/Zbtb7b",3
"GO:0070838","GO:0070838","divalent metal ion transport","7/90","457/21092",0.00341213469555071,0.141034900749429,0.12580999564589,"Ubash3b/Cxcr4/Chd7/Panx1/Ctgf/Cdh23/Atp1b1",7
"GO:0072511","GO:0072511","divalent inorganic cation transport","7/90","460/21092",0.00353672275205593,0.142103037946462,0.126762826011947,"Ubash3b/Cxcr4/Chd7/Panx1/Ctgf/Cdh23/Atp1b1",7
"GO:0006874","GO:0006874","cellular calcium ion homeostasis","7/90","463/21092",0.0036647582271396,0.142103037946462,0.126762826011947,"Ubash3b/Cxcr4/Ptgir/Chd7/Tac4/Cdh23/Atp1b1",7
"GO:0045580","GO:0045580","regulation of T cell differentiation","4/90","148/21092",0.00372831492278594,0.142103037946462,0.126762826011947,"Runx1/Cd83/Zbtb7b/Il2ra",4
"GO:0042130","GO:0042130","negative regulation of T cell proliferation","3/90","74/21092",0.00391369894511265,0.142103037946462,0.126762826011947,"Lrrc32/Zbtb7b/Il2ra",3
"GO:1902307","GO:1902307","positive regulation of sodium ion transmembrane transport","2/90","22/21092",0.00393465385077648,0.142103037946462,0.126762826011947,"Atp1b3/Atp1b1",2
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","4/90","152/21092",0.00409941104520745,0.142103037946462,0.126762826011947,"Runx1/Lrrc32/Zbtb7b/Il2ra",4
"GO:0046631","GO:0046631","alpha-beta T cell activation","4/90","153/21092",0.00419594435062491,0.142103037946462,0.126762826011947,"Runx1/Cd83/Zbtb7b/Satb1",4
"GO:0051965","GO:0051965","positive regulation of synapse assembly","3/90","76/21092",0.00421841310356846,0.142103037946462,0.126762826011947,"Eef2k/Lrrn3/Ntrk2",3
"GO:0043371","GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation","2/90","23/21092",0.00429747090563896,0.142103037946462,0.126762826011947,"Runx1/Zbtb7b",2
"GO:0055074","GO:0055074","calcium ion homeostasis","7/90","480/21092",0.00445838856619833,0.144219177967459,0.128650525903343,"Ubash3b/Cxcr4/Ptgir/Chd7/Tac4/Cdh23/Atp1b1",7
"GO:0062009","GO:0062009","secondary palate development","2/90","24/21092",0.00467519536606036,0.146988534621288,0.131120926823319,"Chd7/Lrrc32",2
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","6/90","365/21092",0.00474156563294476,0.146988534621288,0.131120926823319,"Ubash3b/Cxcr4/Ptgir/Chd7/Tac4/Cdh23",6
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","7/90","488/21092",0.00487407423609484,0.147857491912055,0.131896079018889,"Ubash3b/Cxcr4/Ptgir/Chd7/Tac4/Cdh23/Atp1b1",7
"GO:0050807","GO:0050807","regulation of synapse organization","5/90","259/21092",0.0050581506085108,0.147857491912055,0.131896079018889,"Eef2k/Lrrn3/Ntrk2/Ywhaz/Magi2",5
"GO:0060004","GO:0060004","reflex","2/90","25/21092",0.00506769629537285,0.147857491912055,0.131896079018889,"Cdh23/Satb1",2
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","4/90","164/21092",0.00536097409440758,0.153406335624586,0.136845917673036,"Runx1/Cd83/Zbtb7b/Il2ra",4
"GO:1901018","GO:1901018","positive regulation of potassium ion transmembrane transporter activity","2/90","26/21092",0.00547484358121716,0.153708816016059,0.137115744903969,"Atp1b3/Atp1b1",2
"GO:0050803","GO:0050803","regulation of synapse structure or activity","5/90","266/21092",0.00565320307403428,0.155106406736189,0.138362463847152,"Eef2k/Lrrn3/Ntrk2/Ywhaz/Magi2",5
"GO:0002507","GO:0002507","tolerance induction","2/90","27/21092",0.00589650793101969,0.155106406736189,0.138362463847152,"Runx1/Il2ra",2
"GO:0046639","GO:0046639","negative regulation of alpha-beta T cell differentiation","2/90","27/21092",0.00589650793101969,0.155106406736189,0.138362463847152,"Runx1/Zbtb7b",2
"GO:0007416","GO:0007416","synapse assembly","4/90","169/21092",0.00595550977394928,0.155106406736189,0.138362463847152,"Eef2k/Lrrn3/Ntrk2/Magi2",4
"GO:0032945","GO:0032945","negative regulation of mononuclear cell proliferation","3/90","87/21092",0.00615005241763116,0.155106406736189,0.138362463847152,"Lrrc32/Zbtb7b/Il2ra",3
"GO:0050672","GO:0050672","negative regulation of lymphocyte proliferation","3/90","87/21092",0.00615005241763116,0.155106406736189,0.138362463847152,"Lrrc32/Zbtb7b/Il2ra",3
"GO:0030098","GO:0030098","lymphocyte differentiation","6/90","388/21092",0.00634724666190693,0.157411717215292,0.140418912994116,"Runx1/Chd7/Cd83/Zbtb7b/Satb1/Il2ra",6
"GO:0006479","GO:0006479","protein methylation","4/90","175/21092",0.00672509152054403,0.161402196493057,0.143978614726758,"Prdm5/Camkmt/Snrpd3/Satb1",4
"GO:0008213","GO:0008213","protein alkylation","4/90","175/21092",0.00672509152054403,0.161402196493057,0.143978614726758,"Prdm5/Camkmt/Snrpd3/Satb1",4
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","4/90","177/21092",0.00699557761613973,0.162077908444631,0.144581382674505,"Runx1/Lrrc32/Zbtb7b/Il2ra",4
"GO:0070664","GO:0070664","negative regulation of leukocyte proliferation","3/90","92/21092",0.00717608044674773,0.162077908444631,0.144581382674505,"Lrrc32/Zbtb7b/Il2ra",3
"GO:0043372","GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","2/90","30/21092",0.00724732264088605,0.162077908444631,0.144581382674505,"Cd83/Zbtb7b",2
"GO:0055075","GO:0055075","potassium ion homeostasis","2/90","30/21092",0.00724732264088605,0.162077908444631,0.144581382674505,"Atp1b3/Atp1b1",2
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","5/90","284/21092",0.00740798713374698,0.162077908444631,0.144581382674505,"Runx1/Lrrc32/Cd83/Zbtb7b/Il2ra",5
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","4/90","180/21092",0.00741466293732389,0.162077908444631,0.144581382674505,"Runx1/Cd83/Zbtb7b/Il2ra",4
"GO:0060021","GO:0060021","roof of mouth development","3/90","94/21092",0.00761316592244743,0.162077908444631,0.144581382674505,"Arid5b/Chd7/Lrrc32",3
"GO:2000515","GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","2/90","31/21092",0.00772577855947891,0.162077908444631,0.144581382674505,"Runx1/Zbtb7b",2
"GO:0007548","GO:0007548","sex differentiation","5/90","287/21092",0.00773355611530161,0.162077908444631,0.144581382674505,"Arid5b/Lhfpl2/Runx1/Nrip1/Chd7",5
"GO:0120162","GO:0120162","positive regulation of cold-induced thermogenesis","3/90","96/21092",0.00806568862975562,0.163868823976073,0.146178966492522,"Prlr/Cxcr4/Zbtb7b",3
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","5/90","290/21092",0.00806898107065533,0.163868823976073,0.146178966492522,"Ubash3b/Runx1/Cd83/Zbtb7b/Il2ra",5
"GO:0050870","GO:0050870","positive regulation of T cell activation","4/90","185/21092",0.00814939043967032,0.163868823976073,0.146178966492522,"Runx1/Cd83/Zbtb7b/Il2ra",4
