"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","12/144","328/21092",2.71098843657567e-06,0.00446227722922778,0.00378057641170186,"Itga9/Abr/Ccl3/Ccr2/Itgb3/Tbx21/Cmklr1/Pde4d/Gata3/Pde4b/Itgb1/Ccr3",12
"GO:0045785","GO:0045785","positive regulation of cell adhesion","13/144","405/21092",4.31638979800344e-06,0.00446227722922778,0.00378057641170186,"Card11/Cdh1/Lef1/Cd44/Ank3/Ccr2/Itgb3/Il6st/Gata3/Emilin2/Dock5/Smad3/Itgb1",13
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","11/144","290/21092",5.09198618778369e-06,0.00446227722922778,0.00378057641170186,"Card11/Nrarp/Lef1/Cd44/Ccl3/Tox/Ccr2/Itgb3/Gpr55/Tbx21/Gata3",11
"GO:0032663","GO:0032663","regulation of interleukin-2 production","5/144","59/21092",5.1488590239914e-05,0.0312432959127546,0.0264702665217468,"Card11/Ccr2/Tbx21/Gata3/Pde4b",5
"GO:0048340","GO:0048340","paraxial mesoderm morphogenesis","3/144","13/21092",8.47731948174149e-05,0.0312432959127546,0.0264702665217468,"Lef1/Smad3/Wnt11",3
"GO:0055119","GO:0055119","relaxation of cardiac muscle","3/144","13/21092",8.47731948174149e-05,0.0312432959127546,0.0264702665217468,"Rgs2/Pde4d/Pde4b",3
"GO:1903706","GO:1903706","regulation of hemopoiesis","11/144","398/21092",9.34048500618406e-05,0.0312432959127546,0.0264702665217468,"Card11/Nrarp/Lef1/Cd44/Ccl3/Tox/Ccr2/Itgb3/Gpr55/Tbx21/Gata3",11
"GO:0032623","GO:0032623","interleukin-2 production","5/144","67/21092",9.50727909098657e-05,0.0312432959127546,0.0264702665217468,"Card11/Ccr2/Tbx21/Gata3/Pde4b",5
"GO:0070830","GO:0070830","bicellular tight junction assembly","4/144","42/21092",0.000190645193282561,0.0417719509340898,0.0353904619232985,"Pard3/Cdh1/Wnt11/Itgb1",4
"GO:0120192","GO:0120192","tight junction assembly","4/144","43/21092",0.000209090164442792,0.0417719509340898,0.0353904619232985,"Pard3/Cdh1/Wnt11/Itgb1",4
