"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000149","GO:0000149","SNARE binding","3/61","113/20759",0.00449357474129295,0.203206852982881,0.171786540563657,"Nbas/Abca1/Syt6",3
"GO:0004712","GO:0004712","protein serine/threonine/tyrosine kinase activity","2/61","39/20759",0.00586867611867757,0.203206852982881,0.171786540563657,"Dyrk2/Mapk8",2
"GO:0030276","GO:0030276","clathrin binding","2/61","53/20759",0.0106301929665902,0.203206852982881,0.171786540563657,"Nsg2/Syt6",2
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","2/61","54/20759",0.0110183462484342,0.203206852982881,0.171786540563657,"Esyt2/Syt6",2
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","5/61","464/20759",0.0116449263413912,0.203206852982881,0.171786540563657,"Zfp958/Klf5/Rfx4/Tcf12/Csrnp3",5
"GO:0000982","GO:0000982","transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","5/61","492/20759",0.0146881279656944,0.203206852982881,0.171786540563657,"Zfp958/Klf5/Rfx4/Tcf12/Aebp2",5
"GO:0001077","GO:0001077","proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific","4/61","328/20759",0.0157685893473118,0.203206852982881,0.171786540563657,"Zfp958/Klf5/Rfx4/Tcf12",4
"GO:0019905","GO:0019905","syntaxin binding","2/61","76/20759",0.0210587158977271,0.203206852982881,0.171786540563657,"Abca1/Syt6",2
"GO:0005249","GO:0005249","voltage-gated potassium channel activity","2/61","87/20759",0.0270807871146142,0.203206852982881,0.171786540563657,"Kcnq4/Kcnj15",2
"GO:0008429","GO:0008429","phosphatidylethanolamine binding","1/61","10/20759",0.0290055184061417,0.203206852982881,0.171786540563657,"Esyt2",1
"GO:0008253","GO:0008253","5'-nucleotidase activity","1/61","11/20759",0.0318601457798574,0.203206852982881,0.171786540563657,"Nt5e",1
"GO:0015174","GO:0015174","basic amino acid transmembrane transporter activity","1/61","11/20759",0.0318601457798574,0.203206852982881,0.171786540563657,"Slc7a1",1
"GO:0016813","GO:0016813","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines","1/61","11/20759",0.0318601457798574,0.203206852982881,0.171786540563657,"Padi1",1
"GO:0005543","GO:0005543","phospholipid binding","4/61","413/20759",0.0331456430613911,0.203206852982881,0.171786540563657,"Wdfy1/Golph3/Esyt2/Syt6",4
"GO:0003779","GO:0003779","actin binding","4/61","415/20759",0.0336503254266044,0.203206852982881,0.171786540563657,"Tmem201/Ywhah/Klhl2/Myo10",4
"GO:0099094","GO:0099094","ligand-gated cation channel activity","2/61","99/20759",0.0343403876641631,0.203206852982881,0.171786540563657,"Trpm2/Kcnj15",2
"GO:0008525","GO:0008525","phosphatidylcholine transporter activity","1/61","12/20759",0.0347065180136835,0.203206852982881,0.171786540563657,"Abca1",1
"GO:0106019","GO:0106019","phosphatidylinositol-4,5-bisphosphate phosphatase activity","1/61","12/20759",0.0347065180136835,0.203206852982881,0.171786540563657,"Inpp4b",1
"GO:0035091","GO:0035091","phosphatidylinositol binding","3/61","245/20759",0.0354147288606596,0.203206852982881,0.171786540563657,"Wdfy1/Golph3/Esyt2",3
"GO:0005243","GO:0005243","gap junction channel activity","1/61","13/20759",0.0375446585834605,0.203206852982881,0.171786540563657,"Gja5",1
"GO:0008252","GO:0008252","nucleotidase activity","1/61","13/20759",0.0375446585834605,0.203206852982881,0.171786540563657,"Nt5e",1
"GO:0035497","GO:0035497","cAMP response element binding","1/61","13/20759",0.0375446585834605,0.203206852982881,0.171786540563657,"Tcf12",1
"GO:0045125","GO:0045125","bioactive lipid receptor activity","1/61","13/20759",0.0375446585834605,0.203206852982881,0.171786540563657,"S1pr1",1
"GO:0004559","GO:0004559","alpha-mannosidase activity","1/61","14/20759",0.0403745908993967,0.203206852982881,0.171786540563657,"Man2a1",1
"GO:0004707","GO:0004707","MAP kinase activity","1/61","14/20759",0.0403745908993967,0.203206852982881,0.171786540563657,"Mapk8",1
"GO:0004771","GO:0004771","sterol esterase activity","1/61","14/20759",0.0403745908993967,0.203206852982881,0.171786540563657,"Lipa",1
"GO:0005161","GO:0005161","platelet-derived growth factor receptor binding","1/61","14/20759",0.0403745908993967,0.203206852982881,0.171786540563657,"Il1r1",1
"GO:0005545","GO:0005545","1-phosphatidylinositol binding","1/61","14/20759",0.0403745908993967,0.203206852982881,0.171786540563657,"Wdfy1",1
"GO:0015267","GO:0015267","channel activity","4/61","443/20759",0.0411910953110614,0.203206852982881,0.171786540563657,"Kcnq4/Trpm2/Kcnj15/Gja5",4
"GO:0022803","GO:0022803","passive transmembrane transporter activity","4/61","443/20759",0.0411910953110614,0.203206852982881,0.171786540563657,"Kcnq4/Trpm2/Kcnj15/Gja5",4
"GO:0015923","GO:0015923","mannosidase activity","1/61","15/20759",0.0431963383062485,0.203206852982881,0.171786540563657,"Man2a1",1
"GO:0034236","GO:0034236","protein kinase A catalytic subunit binding","1/61","15/20759",0.0431963383062485,0.203206852982881,0.171786540563657,"Pja2",1
"GO:0005521","GO:0005521","lamin binding","1/61","16/20759",0.0460099240835005,0.203206852982881,0.171786540563657,"Tmem201",1
"GO:0034185","GO:0034185","apolipoprotein binding","1/61","16/20759",0.0460099240835005,0.203206852982881,0.171786540563657,"Abca1",1
"GO:0070492","GO:0070492","oligosaccharide binding","1/61","16/20759",0.0460099240835005,0.203206852982881,0.171786540563657,"Sell",1
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","4/61","464/20759",0.0474309401182003,0.203206852982881,0.171786540563657,"Dyrk2/Mapk8/Nek7/Nek10",4
