"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019955","GO:0019955","cytokine binding","9/178","130/20759",1.85078110309085e-06,0.000790283531019795,0.000681866722191368,"Ifngr1/Cd44/Ccr2/Itgb3/Tnfrsf1b/Il12rb1/Itgb1/Ccr3/Il2ra",9
"GO:0019956","GO:0019956","chemokine binding","4/178","33/20759",0.000176083152656697,0.0375937530922047,0.0324363702262336,"Ccr2/Itgb3/Itgb1/Ccr3",4
"GO:0035091","GO:0035091","phosphatidylinositol binding","9/178","245/20759",0.000274146852614614,0.0390202353554801,0.0336671573386368,"Arap2/Snx29/Hip1/Fcho2/Atp13a2/Itpr2/Snx13/Myo1g/Myo1b",9
"GO:1901981","GO:1901981","phosphatidylinositol phosphate binding","7/178","160/20759",0.000469718470623113,0.0501424467390173,0.0432635433468657,"Arap2/Hip1/Fcho2/Atp13a2/Snx13/Myo1g/Myo1b",7
"GO:0005543","GO:0005543","phospholipid binding","11/178","413/20759",0.000905685537851895,0.0609585305974297,0.0525957986172819,"Arap2/Snx29/Hip1/Fcho2/Atp13a2/Anxa6/Itpr2/Snx13/Myo1g/Prex1/Myo1b",11
"GO:0042578","GO:0042578","phosphoric ester hydrolase activity","10/178","356/20759",0.00103689572676444,0.0609585305974297,0.0525957986172819,"Pde6d/Samhd1/Plce1/Ptpre/Cdc14a/Ppm1a/Pde4b/Ubash3b/Inpp4a/Dusp2",10
"GO:0004896","GO:0004896","cytokine receptor activity","5/178","90/20759",0.00106934370288163,0.0609585305974297,0.0525957986172819,"Cd44/Ccr2/Il12rb1/Ccr3/Il2ra",5
"GO:0000982","GO:0000982","transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","12/178","492/20759",0.00114208019854669,0.0609585305974297,0.0525957986172819,"Aebp2/Foxp4/Arnt2/Lef1/Glis2/Kdm4a/Rbpj/Mef2a/Fli1/Gata3/Srebf2/Irf8",12
"GO:0050840","GO:0050840","extracellular matrix binding","4/178","59/20759",0.00164710751698858,0.0781461010837913,0.067425453911813,"Itga9/Adgrg1/Itgb3/Itgb1",4
"GO:1902936","GO:1902936","phosphatidylinositol bisphosphate binding","5/178","105/20759",0.00211974838816998,0.0905132561748581,0.0780959932483676,"Hip1/Fcho2/Atp13a2/Myo1g/Myo1b",5
"GO:0005518","GO:0005518","collagen binding","4/178","68/20759",0.00277660488485946,0.107782753257726,0.092996335856537,"Itga9/Adgrg1/Smad3/Itgb1",4
"GO:0005089","GO:0005089","Rho guanyl-nucleotide exchange factor activity","4/178","70/20759",0.00308500411813997,0.109774729870481,0.0947150387148236,"Abr/Farp1/Prex1/Plekhg3",4
"GO:0005547","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","3/178","39/20759",0.00451600368476412,0.137254963545963,0.118425335242418,"Arap2/Myo1g/Myo1b",3
"GO:0043178","GO:0043178","alcohol binding","4/178","80/20759",0.00498120668504212,0.137254963545963,0.118425335242418,"Anxa6/Itpr2/Soat1/Stard3nl",4
"GO:0015485","GO:0015485","cholesterol binding","3/178","41/20759",0.00520215322196434,0.137254963545963,0.118425335242418,"Anxa6/Soat1/Stard3nl",3
"GO:0001078","GO:0001078","proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific","6/178","187/20759",0.00558313764313776,0.137254963545963,0.118425335242418,"Aebp2/Foxp4/Kdm4a/Gata3/Srebf2/Irf8",6
"GO:0045295","GO:0045295","gamma-catenin binding","2/178","14/20759",0.00621742088259577,0.137254963545963,0.118425335242418,"Cdh1/Lef1",2
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","6/178","192/20759",0.00633065115497372,0.137254963545963,0.118425335242418,"Dock5/Plce1/Abr/Farp1/Prex1/Plekhg3",6
"GO:0008013","GO:0008013","beta-catenin binding","4/178","86/20759",0.00642880391315986,0.137254963545963,0.118425335242418,"Cdh1/Tbl1xr1/Lef1/Smad3",4
"GO:0046332","GO:0046332","SMAD binding","4/178","86/20759",0.00642880391315986,0.137254963545963,0.118425335242418,"Mef2a/Runx3/Ppm1a/Smad3",4
"GO:0032934","GO:0032934","sterol binding","3/178","47/20759",0.00762221472235364,0.147940258474773,0.127644744154248,"Anxa6/Soat1/Stard3nl",3
"GO:0070888","GO:0070888","E-box binding","3/178","47/20759",0.00762221472235364,0.147940258474773,0.127644744154248,"Gata3/Srebf2/Prmt5",3
"GO:0030246","GO:0030246","carbohydrate binding","7/178","269/20759",0.00868703506856048,0.16127669453371,0.139151591487239,"Sell/Klrk1/Galm/Grifin/Klra5/Klra1/Klra6",7
"GO:0030676","GO:0030676","Rac guanyl-nucleotide exchange factor activity","2/178","17/20759",0.00913666176929114,0.162556440645305,0.140255772774206,"Farp1/Prex1",2
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","4/178","98/20759",0.0101061010168628,0.172612205368016,0.148932014985346,"Ptpre/Cdc14a/Ubash3b/Dusp2",4
"GO:0005496","GO:0005496","steroid binding","4/178","100/20759",0.0108274186358737,0.177819529135311,0.15342496042736,"Anxa6/Soat1/Bspry/Stard3nl",4
"GO:0008327","GO:0008327","methyl-CpG binding","2/178","21/20759",0.0137953075551126,0.215534904903023,0.185966268251098,"Zbtb38/Prmt5",2
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","7/178","296/20759",0.0141334363870835,0.215534904903023,0.185966268251098,"Pde6d/Arap2/Rgs2/Abr/Atp1b3/Rgs8/Wnt11",7
"GO:0016493","GO:0016493","C-C chemokine receptor activity","2/178","24/20759",0.0178293974566465,0.228585914573499,0.197226846051337,"Ccr2/Ccr3",2
"GO:0004721","GO:0004721","phosphoprotein phosphatase activity","5/178","176/20759",0.0180024889497278,0.228585914573499,0.197226846051337,"Ptpre/Cdc14a/Ppm1a/Ubash3b/Dusp2",5
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","2/178","25/20759",0.0192718803855878,0.228585914573499,0.197226846051337,"Ccr2/Ccr3",2
"GO:0004950","GO:0004950","chemokine receptor activity","2/178","25/20759",0.0192718803855878,0.228585914573499,0.197226846051337,"Ccr2/Ccr3",2
"GO:0019957","GO:0019957","C-C chemokine binding","2/178","25/20759",0.0192718803855878,0.228585914573499,0.197226846051337,"Ccr2/Ccr3",2
