"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation","8/155","96/21092",5.44363560895084e-07,0.00133913435980191,0.00118728557702591,"Cdh26/Ccr7/Twsg1/Runx1/Bcl6/Cd83/Zbtb7b/Satb1",8
"GO:2000514","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","6/155","62/21092",6.25692724045661e-06,0.00769602050576163,0.00682334381169794,"Ccr7/Twsg1/Runx1/Bcl6/Cd83/Zbtb7b",6
"GO:0002643","GO:0002643","regulation of tolerance induction","4/155","19/21092",9.97820609303333e-06,0.00818212899628733,0.00725433088588248,"Ccr7/Hmgb1/Runx1/Il2ra",4
"GO:0046631","GO:0046631","alpha-beta T cell activation","8/155","153/21092",1.78395275489028e-05,0.0109713094425752,0.00972723712666487,"Cdh26/Ccr7/Twsg1/Runx1/Bcl6/Cd83/Zbtb7b/Satb1",8
"GO:0043367","GO:0043367","CD4-positive, alpha-beta T cell differentiation","6/155","80/21092",2.74345810791913e-05,0.0133657999364601,0.0118502085872252,"Ccr7/Runx1/Bcl6/Cd83/Zbtb7b/Satb1",6
"GO:0043370","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","5/155","50/21092",3.25995120401465e-05,0.0133657999364601,0.0118502085872252,"Ccr7/Runx1/Bcl6/Cd83/Zbtb7b",5
"GO:0002507","GO:0002507","tolerance induction","4/155","27/21092",4.31580282489139e-05,0.0147308515041153,0.0130604725359551,"Ccr7/Hmgb1/Runx1/Il2ra",4
"GO:0007162","GO:0007162","negative regulation of cell adhesion","10/155","283/21092",4.79052081434645e-05,0.0147308515041153,0.0130604725359551,"Dusp1/Twsg1/Ubash3b/Runx1/Il2ra/Lrrc32/Bcl6/Mbp/Phldb2/Zbtb7b",10
"GO:0045582","GO:0045582","positive regulation of T cell differentiation","6/155","94/21092",6.83173484213545e-05,0.0169131691438992,0.0149953301096103,"Ccr7/Runx1/Il2ra/Bcl6/Cd83/Zbtb7b",6
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","8/155","187/21092",7.45292205544935e-05,0.0169131691438992,0.0149953301096103,"Twsg1/Ubash3b/Runx1/Il2ra/Lrrc32/Bcl6/Mbp/Zbtb7b",8
"GO:2000515","GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","4/155","31/21092",7.56279921068664e-05,0.0169131691438992,0.0149953301096103,"Twsg1/Runx1/Bcl6/Zbtb7b",4
"GO:0046634","GO:0046634","regulation of alpha-beta T cell activation","6/155","102/21092",0.000107667931795882,0.0220719260181558,0.0195691188316725,"Ccr7/Twsg1/Runx1/Bcl6/Cd83/Zbtb7b",6
"GO:0046637","GO:0046637","regulation of alpha-beta T cell differentiation","5/155","67/21092",0.000134407305883228,0.0236173188483814,0.0209392745630493,"Ccr7/Runx1/Bcl6/Cd83/Zbtb7b",5
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","8/155","204/21092",0.000136358686565906,0.0236173188483814,0.0209392745630493,"Ccr7/Hmgb1/Runx1/Il2ra/Itgb3/Bcl6/Cd83/Zbtb7b",8
