"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019955","GO:0019955","cytokine binding","2/20","130/20759",0.00686789204630965,0.088485935346343,0.0573188245158497,"Ccr7/Tnfrsf11a",2
"GO:0001653","GO:0001653","peptide receptor activity","2/20","146/20759",0.00859039811384517,0.088485935346343,0.0573188245158497,"Ccr7/Gucy2c",2
"GO:0015379","GO:0015379","potassium:chloride symporter activity","1/20","10/20759",0.00959478411552206,0.088485935346343,0.0573188245158497,"Slc12a7",1
"GO:0070990","GO:0070990","snRNP binding","1/20","10/20759",0.00959478411552206,0.088485935346343,0.0573188245158497,"Snrpd3",1
"GO:0004383","GO:0004383","guanylate cyclase activity","1/20","11/20759",0.0105494375599144,0.088485935346343,0.0573188245158497,"Gucy2c",1
"GO:0015643","GO:0015643","toxic substance binding","1/20","13/20759",0.0124561225328739,0.088485935346343,0.0573188245158497,"Gucy2c",1
"GO:0016725","GO:0016725","oxidoreductase activity, acting on CH or CH2 groups","1/20","15/20759",0.0143593166714489,0.088485935346343,0.0573188245158497,"Xdh",1
"GO:0042813","GO:0042813","Wnt-activated receptor activity","1/20","16/20759",0.0153096065705317,0.088485935346343,0.0573188245158497,"Lrp5",1
"GO:0015377","GO:0015377","cation:chloride symporter activity","1/20","17/20759",0.0162590260310048,0.088485935346343,0.0573188245158497,"Slc12a7",1
"GO:0070034","GO:0070034","telomerase RNA binding","1/20","17/20759",0.0162590260310048,0.088485935346343,0.0573188245158497,"Snrpd3",1
"GO:0043422","GO:0043422","protein kinase B binding","1/20","18/20759",0.0172075758082381,0.088485935346343,0.0573188245158497,"Ankrd2",1
"GO:0015296","GO:0015296","anion:cation symporter activity","1/20","19/20759",0.0181552566569839,0.088485935346343,0.0573188245158497,"Slc12a7",1
"GO:0015026","GO:0015026","coreceptor activity","1/20","23/20759",0.0219373058404727,0.088485935346343,0.0573188245158497,"Lrp5",1
"GO:0016493","GO:0016493","C-C chemokine receptor activity","1/20","24/20759",0.0228806533464141,0.088485935346343,0.0573188245158497,"Ccr7",1
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","1/20","25/20759",0.0238231364394,0.088485935346343,0.0573188245158497,"Ccr7",1
"GO:0004012","GO:0004012","phospholipid-translocating ATPase activity","1/20","25/20759",0.0238231364394,0.088485935346343,0.0573188245158497,"Atp10a",1
"GO:0004950","GO:0004950","chemokine receptor activity","1/20","25/20759",0.0238231364394,0.088485935346343,0.0573188245158497,"Ccr7",1
