"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005096","GO:0005096","GTPase activator activity","7/88","239/20759",7.06020069669093e-05,0.0132822140965365,0.012155151890708,"Nup50/Rgs2/Arhgap26/Chn2/Abr/Ralgapa2/Wnt11",7
"GO:0030695","GO:0030695","GTPase regulator activity","7/88","256/20759",0.000108426237522747,0.0132822140965365,0.012155151890708,"Nup50/Rgs2/Arhgap26/Chn2/Abr/Ralgapa2/Wnt11",7
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","7/88","296/20759",0.000264384519054281,0.0215914023894329,0.0197592640556357,"Nup50/Rgs2/Arhgap26/Chn2/Abr/Ralgapa2/Wnt11",7
"GO:0001965","GO:0001965","G-protein alpha-subunit binding","3/88","33/20759",0.000366300874493966,0.0224359285627554,0.0205321279650565,"Rgs2/Adrb2/Pkd1l2",3
"GO:0008047","GO:0008047","enzyme activator activity","8/88","449/20759",0.000638138725474278,0.0312687975482396,0.028615483900215,"Nup50/Rgs2/Ccl5/Arhgap26/Chn2/Abr/Ralgapa2/Wnt11",8
"GO:0051015","GO:0051015","actin filament binding","5/88","193/20759",0.00138439542687701,0.0517834483445871,0.0473893641134138,"Rcsd1/Hip1/Pls1/Gas7/Myo6",5
"GO:0030276","GO:0030276","clathrin binding","3/88","53/20759",0.00147952709555963,0.0517834483445871,0.0473893641134138,"Hip1/Ncald/Ap2a2",3
"GO:0003779","GO:0003779","actin binding","7/88","415/20759",0.00191809883061848,0.0587417766876911,0.0537572435423338,"Rcsd1/Hip1/Sntb1/Pls1/Ncald/Gas7/Myo6",7
"GO:0038024","GO:0038024","cargo receptor activity","3/88","84/20759",0.00547641127881948,0.141011365768155,0.12904584708321,"Hip1/Myo6/Ap2a2",3
"GO:0030246","GO:0030246","carbohydrate binding","5/88","269/20759",0.00575556594972062,0.141011365768155,0.12904584708321,"Sell/Siglecg/Gfpt1/Klra5/Pkd1l2",5
"GO:0005543","GO:0005543","phospholipid binding","6/88","413/20759",0.00823635052605282,0.183445988989358,0.167879680578876,"Hip1/Arhgap26/Osbpl8/Snx13/Prex1/Ap2a2",6
"GO:0032266","GO:0032266","phosphatidylinositol-3-phosphate binding","2/88","39/20759",0.0118914093050799,0.23974268709971,0.219399322673418,"Hip1/Snx13",2
"GO:0015631","GO:0015631","tubulin binding","5/88","327/20759",0.0127210405399846,0.23974268709971,0.219399322673418,"Rgs2/Ncald/Pde4b/Fam83d/Mdm1",5
"GO:0030674","GO:0030674","protein binding, bridging","3/88","125/20759",0.0161347676096722,0.282358433169263,0.258398909839111,"Hip1/Ank3/Ap2a2",3
"GO:0019955","GO:0019955","cytokine binding","3/88","130/20759",0.017895209357362,0.29228841950358,0.267486287236359,"Ifngr1/Tgfbr1/Il12rb1",3
"GO:0035091","GO:0035091","phosphatidylinositol binding","4/88","245/20759",0.0204098457742369,0.312525763418003,0.286006391441609,"Hip1/Osbpl8/Snx13/Ap2a2",4
"GO:0060090","GO:0060090","molecular adaptor activity","3/88","147/20759",0.024653025804342,0.334824613788459,0.306413072983638,"Hip1/Ank3/Ap2a2",3
