"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","10/150","464/20759",0.00204675298260306,0.355448387088251,0.342203463863417,"Dyrk2/Tgfbr2/Tlk1/Prkch/Myo3b/Map3k13/Map3k4/Ptk2b/Cdkl4/Tnik",10
"GO:0042826","GO:0042826","histone deacetylase binding","5/150","124/20759",0.00208208827447156,0.355448387088251,0.342203463863417,"Runx3/Cebpa/Dact1/Mef2b/Hdac4",5
"GO:0008525","GO:0008525","phosphatidylcholine transporter activity","2/150","12/20759",0.00326429204777846,0.355448387088251,0.342203463863417,"Pitpnm2/Pitpnb",2
"GO:0031420","GO:0031420","alkali metal ion binding","2/150","21/20759",0.00995378835617561,0.355448387088251,0.342203463863417,"Scn3a/Hdac4",2
"GO:0005548","GO:0005548","phospholipid transporter activity","3/150","66/20759",0.012140402242337,0.355448387088251,0.342203463863417,"Pitpnm2/Tmem30c/Pitpnb",3
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","8/150","428/20759",0.0127305501813542,0.355448387088251,0.342203463863417,"Scn3a/Slc4a10/Itpr1/Kcnj15/Slc30a5/Slc9a9/Cacnb4/Slc1a3",8
"GO:0016493","GO:0016493","C-C chemokine receptor activity","2/150","24/20759",0.0128985494534653,0.355448387088251,0.342203463863417,"Ccr6/Cxcr5",2
"GO:0031210","GO:0031210","phosphatidylcholine binding","2/150","24/20759",0.0128985494534653,0.355448387088251,0.342203463863417,"Pitpnm2/Pitpnb",2
"GO:0050997","GO:0050997","quaternary ammonium group binding","2/150","24/20759",0.0128985494534653,0.355448387088251,0.342203463863417,"Pitpnm2/Pitpnb",2
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","2/150","25/20759",0.0139543514308565,0.355448387088251,0.342203463863417,"Ccr6/Cxcr5",2
"GO:0004950","GO:0004950","chemokine receptor activity","2/150","25/20759",0.0139543514308565,0.355448387088251,0.342203463863417,"Ccr6/Cxcr5",2
"GO:0019957","GO:0019957","C-C chemokine binding","2/150","25/20759",0.0139543514308565,0.355448387088251,0.342203463863417,"Ccr6/Cxcr5",2
"GO:0030742","GO:0030742","GTP-dependent protein binding","2/150","25/20759",0.0139543514308565,0.355448387088251,0.342203463863417,"Mras/Gch1",2
"GO:0004709","GO:0004709","MAP kinase kinase kinase activity","2/150","26/20759",0.0150462947921317,0.355448387088251,0.342203463863417,"Map3k13/Map3k4",2
"GO:0016597","GO:0016597","amino acid binding","3/150","72/20759",0.0153359439800032,0.355448387088251,0.342203463863417,"Sesn1/Sesn3/Slc1a3",3
"GO:0031435","GO:0031435","mitogen-activated protein kinase kinase kinase binding","2/150","27/20759",0.016173809394723,0.355448387088251,0.342203463863417,"Tgfbr2/Marveld3",2
"GO:0043027","GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","2/150","28/20759",0.0173363313519593,0.355448387088251,0.342203463863417,"Tnfaip8/Naip1",2
"GO:0015081","GO:0015081","sodium ion transmembrane transporter activity","4/150","138/20759",0.0179725147669026,0.355448387088251,0.342203463863417,"Scn3a/Slc4a10/Slc9a9/Slc1a3",4
"GO:0003712","GO:0003712","transcription coregulator activity","8/150","459/20759",0.0186047365142611,0.355448387088251,0.342203463863417,"Cebpa/Ptpn14/Aebp2/Lpin2/Zfp281/Slc30a9/Hdac4/Basp1",8
"GO:0043178","GO:0043178","alcohol binding","3/150","80/20759",0.0202665589553867,0.367838045040269,0.354131451220441,"Osbpl1a/Itpr1/Adh4",3
"GO:0005319","GO:0005319","lipid transporter activity","4/150","147/20759",0.0220875918103671,0.378222140014091,0.364128608046044,"Osbpl1a/Pitpnm2/Tmem30c/Pitpnb",4
"GO:0019956","GO:0019956","chemokine binding","2/150","33/20759",0.0236547458658692,0.378222140014091,0.364128608046044,"Ccr6/Cxcr5",2
"GO:0005164","GO:0005164","tumor necrosis factor receptor binding","2/150","34/20759",0.025015813211758,0.378222140014091,0.364128608046044,"Nucb2/Tnfsf8",2
"GO:0004896","GO:0004896","cytokine receptor activity","3/150","90/20759",0.0275163638290681,0.378222140014091,0.364128608046044,"Ccr6/Cxcr5/Gfra2",3
"GO:0003779","GO:0003779","actin binding","7/150","415/20759",0.0313937237162204,0.378222140014091,0.364128608046044,"Epb41l2/Tmem201/Neb/Myo3b/Actr2/Arc/Tmod3",7
