"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060872","GO:0060872","semicircular canal development","2/44","10/21092",0.000189367329692793,0.139764262497487,0.120848798400083,"Nr4a3/Chd7",2
"GO:0006486","GO:0006486","protein glycosylation","4/44","184/21092",0.000579393189416439,0.139764262497487,0.120848798400083,"Slc4a10/Dad1/St6gal1/Galntl6",4
"GO:0043413","GO:0043413","macromolecule glycosylation","4/44","184/21092",0.000579393189416439,0.139764262497487,0.120848798400083,"Slc4a10/Dad1/St6gal1/Galntl6",4
"GO:0015701","GO:0015701","bicarbonate transport","2/44","18/21092",0.000637052407011444,0.139764262497487,0.120848798400083,"Slc4a10/Slc4a4",2
"GO:0070085","GO:0070085","glycosylation","4/44","196/21092",0.000734056000512011,0.139764262497487,0.120848798400083,"Slc4a10/Dad1/St6gal1/Galntl6",4
"GO:0036475","GO:0036475","neuron death in response to oxidative stress","2/44","30/21092",0.00178266156078626,0.220865553164175,0.190973974540452,"Nr4a3/Fbxw7",2
"GO:1903203","GO:1903203","regulation of oxidative stress-induced neuron death","2/44","30/21092",0.00178266156078626,0.220865553164175,0.190973974540452,"Nr4a3/Fbxw7",2
"GO:0009101","GO:0009101","glycoprotein biosynthetic process","4/44","252/21092",0.00185601305179979,0.220865553164175,0.190973974540452,"Slc4a10/Dad1/St6gal1/Galntl6",4
"GO:0098751","GO:0098751","bone cell development","2/44","35/21092",0.00242227336320132,0.25622269352974,0.221545938014437,"Rabgap1l/Fbxw7",2
"GO:0007257","GO:0007257","activation of JUN kinase activity","2/44","39/21092",0.00300073063423029,0.264947071902701,0.229089573449704,"Map3k1/Map3k13",2
"GO:0009100","GO:0009100","glycoprotein metabolic process","4/44","308/21092",0.0038232380381743,0.264947071902701,0.229089573449704,"Slc4a10/Dad1/St6gal1/Galntl6",4
"GO:0006487","GO:0006487","protein N-linked glycosylation","2/44","62/21092",0.00742872571671909,0.264947071902701,0.229089573449704,"Dad1/St6gal1",2
"GO:0030900","GO:0030900","forebrain development","4/44","381/21092",0.00805182624923391,0.264947071902701,0.229089573449704,"Nr4a3/Slc4a10/Chd7/Ntrk2",4
"GO:0051453","GO:0051453","regulation of intracellular pH","2/44","67/21092",0.00862880078028665,0.264947071902701,0.229089573449704,"Slc4a10/Slc4a4",2
"GO:0015711","GO:0015711","organic anion transport","4/44","404/21092",0.00984281807103251,0.264947071902701,0.229089573449704,"Slc4a10/Slc6a19/Ntrk2/Slc4a4",4
"GO:0030641","GO:0030641","regulation of cellular pH","2/44","72/21092",0.0099097660952042,0.264947071902701,0.229089573449704,"Slc4a10/Slc4a4",2
"GO:0061515","GO:0061515","myeloid cell development","2/44","75/21092",0.0107164512453037,0.264947071902701,0.229089573449704,"Rabgap1l/Fbxw7",2
"GO:1903201","GO:1903201","regulation of oxidative stress-induced cell death","2/44","75/21092",0.0107164512453037,0.264947071902701,0.229089573449704,"Nr4a3/Fbxw7",2
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","2/44","77/21092",0.0112698902160042,0.264947071902701,0.229089573449704,"Ankrd2/Fhit",2
"GO:0043507","GO:0043507","positive regulation of JUN kinase activity","2/44","78/21092",0.0115512635514819,0.264947071902701,0.229089573449704,"Map3k1/Map3k13",2
"GO:1900407","GO:1900407","regulation of cellular response to oxidative stress","2/44","86/21092",0.0139121657679914,0.264947071902701,0.229089573449704,"Nr4a3/Fbxw7",2
"GO:0021954","GO:0021954","central nervous system neuron development","2/44","87/21092",0.0142208178882088,0.264947071902701,0.229089573449704,"Slc4a10/Ntrk2",2
"GO:0006885","GO:0006885","regulation of pH","2/44","89/21092",0.0148470029426499,0.264947071902701,0.229089573449704,"Slc4a10/Slc4a4",2
"GO:0021537","GO:0021537","telencephalon development","3/44","248/21092",0.0149194409631229,0.264947071902701,0.229089573449704,"Nr4a3/Chd7/Ntrk2",3
"GO:0001570","GO:0001570","vasculogenesis","2/44","93/21092",0.0161345303392509,0.264947071902701,0.229089573449704,"Fbxw7/Ntrk2",2
"GO:0030004","GO:0030004","cellular monovalent inorganic cation homeostasis","2/44","93/21092",0.0161345303392509,0.264947071902701,0.229089573449704,"Slc4a10/Slc4a4",2
"GO:0036473","GO:0036473","cell death in response to oxidative stress","2/44","94/21092",0.0164636608403848,0.264947071902701,0.229089573449704,"Nr4a3/Fbxw7",2
"GO:0043506","GO:0043506","regulation of JUN kinase activity","2/44","94/21092",0.0164636608403848,0.264947071902701,0.229089573449704,"Map3k1/Map3k13",2
"GO:0034599","GO:0034599","cellular response to oxidative stress","3/44","258/21092",0.0165663946779941,0.264947071902701,0.229089573449704,"Nr4a3/Ankrd2/Fbxw7",3
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","3/44","258/21092",0.0165663946779941,0.264947071902701,0.229089573449704,"Nr4a3/Fbxw7/Ntrk2",3
"GO:1902882","GO:1902882","regulation of response to oxidative stress","2/44","95/21092",0.016795664976716,0.264947071902701,0.229089573449704,"Nr4a3/Fbxw7",2
"GO:0050772","GO:0050772","positive regulation of axonogenesis","2/44","98/21092",0.0178087909477708,0.264947071902701,0.229089573449704,"Map3k13/Ntrk2",2
"GO:0032875","GO:0032875","regulation of DNA endoreduplication","1/44","10/21092",0.0206706131220913,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0045741","GO:0045741","positive regulation of epidermal growth factor-activated receptor activity","1/44","10/21092",0.0206706131220913,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0071888","GO:0071888","macrophage apoptotic process","1/44","10/21092",0.0206706131220913,0.264947071902701,0.229089573449704,"St6gal1",1
"GO:1903011","GO:1903011","negative regulation of bone development","1/44","10/21092",0.0206706131220913,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:1903431","GO:1903431","positive regulation of cell maturation","1/44","10/21092",0.0206706131220913,0.264947071902701,0.229089573449704,"Map3k13",1
"GO:1903749","GO:1903749","positive regulation of establishment of protein localization to mitochondrion","1/44","10/21092",0.0206706131220913,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:2000109","GO:2000109","regulation of macrophage apoptotic process","1/44","10/21092",0.0206706131220913,0.264947071902701,0.229089573449704,"St6gal1",1
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process","2/44","109/21092",0.0217383321646388,0.264947071902701,0.229089573449704,"Nr4a3/St6gal1",2
"GO:0051402","GO:0051402","neuron apoptotic process","3/44","288/21092",0.0221005086528163,0.264947071902701,0.229089573449704,"Nr4a3/Fbxw7/Ntrk2",3
"GO:0006054","GO:0006054","N-acetylneuraminate metabolic process","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"St6gal1",1
"GO:0006105","GO:0006105","succinate metabolic process","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Suclg2",1
"GO:0019227","GO:0019227","neuronal action potential propagation","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0021860","GO:0021860","pyramidal neuron development","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Slc4a10",1
"GO:0042023","GO:0042023","DNA endoreduplication","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0042048","GO:0042048","olfactory behavior","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0043619","GO:0043619","regulation of transcription from RNA polymerase II promoter in response to oxidative stress","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Ankrd2",1
"GO:0048934","GO:0048934","peripheral nervous system neuron differentiation","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0048935","GO:0048935","peripheral nervous system neuron development","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0098870","GO:0098870","action potential propagation","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:2000322","GO:2000322","regulation of glucocorticoid receptor signaling pathway","1/44","11/21092",0.0227145602344448,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0042472","GO:0042472","inner ear morphogenesis","2/44","113/21092",0.0232486755753637,0.264947071902701,0.229089573449704,"Nr4a3/Chd7",2
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","3/44","295/21092",0.023520561709635,0.264947071902701,0.229089573449704,"Ankrd2/Fhit/Fbxw7",3
"GO:0000187","GO:0000187","activation of MAPK activity","2/44","114/21092",0.0236328822567296,0.264947071902701,0.229089573449704,"Map3k1/Map3k13",2
"GO:0043087","GO:0043087","regulation of GTPase activity","3/44","297/21092",0.023935259419212,0.264947071902701,0.229089573449704,"Dock9/Rabgap1l/Ntrk2",3
"GO:0090596","GO:0090596","sensory organ morphogenesis","3/44","297/21092",0.023935259419212,0.264947071902701,0.229089573449704,"Nr4a3/Chd7/Ntrk2",3
"GO:0021859","GO:0021859","pyramidal neuron differentiation","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Slc4a10",1
"GO:0034115","GO:0034115","negative regulation of heterotypic cell-cell adhesion","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Mbp",1
"GO:0035726","GO:0035726","common myeloid progenitor cell proliferation","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0046548","GO:0046548","retinal rod cell development","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0070587","GO:0070587","regulation of cell-cell adhesion involved in gastrulation","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Mbp",1
"GO:0072697","GO:0072697","protein localization to cell cortex","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Epb41l2",1
"GO:2000253","GO:2000253","positive regulation of feeding behavior","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:2000341","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Mbp",1
"GO:2000674","GO:2000674","regulation of type B pancreatic cell apoptotic process","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Cast",1
"GO:2001204","GO:2001204","regulation of osteoclast development","1/44","12/21092",0.024754338202742,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0002431","GO:0002431","Fc receptor mediated stimulatory signaling pathway","1/44","13/21092",0.0267899553336282,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0061469","GO:0061469","regulation of type B pancreatic cell proliferation","1/44","13/21092",0.0267899553336282,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0070586","GO:0070586","cell-cell adhesion involved in gastrulation","1/44","13/21092",0.0267899553336282,0.264947071902701,0.229089573449704,"Mbp",1
"GO:0072567","GO:0072567","chemokine (C-X-C motif) ligand 2 production","1/44","13/21092",0.0267899553336282,0.264947071902701,0.229089573449704,"Mbp",1
"GO:0090197","GO:0090197","positive regulation of chemokine secretion","1/44","13/21092",0.0267899553336282,0.264947071902701,0.229089573449704,"Mbp",1
"GO:1903025","GO:1903025","regulation of RNA polymerase II regulatory region sequence-specific DNA binding","1/44","13/21092",0.0267899553336282,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:1905048","GO:1905048","regulation of metallopeptidase activity","1/44","13/21092",0.0267899553336282,0.264947071902701,0.229089573449704,"Mbp",1
"GO:0007631","GO:0007631","feeding behavior","2/44","126/21092",0.0284446071445699,0.264947071902701,0.229089573449704,"Nr4a3/Ntrk2",2
"GO:0042921","GO:0042921","glucocorticoid receptor signaling pathway","1/44","14/21092",0.0288214199175894,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0048755","GO:0048755","branching morphogenesis of a nerve","1/44","14/21092",0.0288214199175894,0.264947071902701,0.229089573449704,"Map3k13",1
"GO:0090196","GO:0090196","regulation of chemokine secretion","1/44","14/21092",0.0288214199175894,0.264947071902701,0.229089573449704,"Mbp",1
"GO:0099550","GO:0099550","trans-synaptic signaling, modulating synaptic transmission","1/44","14/21092",0.0288214199175894,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:1905516","GO:1905516","positive regulation of fertilization","1/44","14/21092",0.0288214199175894,0.264947071902701,0.229089573449704,"Lhfpl2",1
"GO:0016999","GO:0016999","antibiotic metabolic process","2/44","128/21092",0.0292818509875769,0.264947071902701,0.229089573449704,"St6gal1/Suclg2",2
"GO:0071887","GO:0071887","leukocyte apoptotic process","2/44","131/21092",0.0305561242549143,0.264947071902701,0.229089573449704,"Nr4a3/St6gal1",2
"GO:0010172","GO:0010172","embryonic body morphogenesis","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Zfp281",1
"GO:0035641","GO:0035641","locomotory exploration behavior","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Slc4a10",1
"GO:0038093","GO:0038093","Fc receptor signaling pathway","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0043584","GO:0043584","nose development","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0044320","GO:0044320","cellular response to leptin stimulus","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0046855","GO:0046855","inositol phosphate dephosphorylation","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Mtmr7",1
"GO:0061029","GO:0061029","eyelid development in camera-type eye","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Map3k1",1
"GO:0070486","GO:0070486","leukocyte aggregation","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0090195","GO:0090195","chemokine secretion","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Mbp",1
"GO:0097050","GO:0097050","type B pancreatic cell apoptotic process","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Cast",1
"GO:2000811","GO:2000811","negative regulation of anoikis","1/44","15/21092",0.0308487402289865,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0007338","GO:0007338","single fertilization","2/44","133/21092",0.0314177768029782,0.264947071902701,0.229089573449704,"Lhfpl2/Cast",2
"GO:0043010","GO:0043010","camera-type eye development","3/44","331/21092",0.03159422501166,0.264947071902701,0.229089573449704,"Map3k1/Chd7/Ntrk2",3
"GO:0042471","GO:0042471","ear morphogenesis","2/44","135/21092",0.0322890320201134,0.264947071902701,0.229089573449704,"Nr4a3/Chd7",2
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","2/44","135/21092",0.0322890320201134,0.264947071902701,0.229089573449704,"Ankrd2/Fhit",2
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","3/44","336/21092",0.0328172664014703,0.264947071902701,0.229089573449704,"Map3k13/Ntrk2/St6gal1",3
"GO:0003222","GO:0003222","ventricular trabecula myocardium morphogenesis","1/44","16/21092",0.0328719245260839,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0007512","GO:0007512","adult heart development","1/44","16/21092",0.0328719245260839,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0031958","GO:0031958","corticosteroid receptor signaling pathway","1/44","16/21092",0.0328719245260839,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0044766","GO:0044766","multi-organism transport","1/44","16/21092",0.0328719245260839,0.264947071902701,0.229089573449704,"Bst2",1
"GO:0140058","GO:0140058","neuron projection arborization","1/44","16/21092",0.0328719245260839,0.264947071902701,0.229089573449704,"Map3k13",1
"GO:1902579","GO:1902579","multi-organism localization","1/44","16/21092",0.0328719245260839,0.264947071902701,0.229089573449704,"Bst2",1
"GO:2000291","GO:2000291","regulation of myoblast proliferation","1/44","16/21092",0.0328719245260839,0.264947071902701,0.229089573449704,"Ankrd2",1
"GO:0009070","GO:0009070","serine family amino acid biosynthetic process","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Sephs1",1
"GO:0010832","GO:0010832","negative regulation of myotube differentiation","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Ankrd2",1
"GO:0010880","GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0014041","GO:0014041","regulation of neuron maturation","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Map3k13",1
"GO:0016973","GO:0016973","poly(A)+ mRNA export from nucleus","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"1700017N19Rik",1
"GO:0018279","GO:0018279","protein N-linked glycosylation via asparagine","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"St6gal1",1
"GO:0036035","GO:0036035","osteoclast development","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0046838","GO:0046838","phosphorylated carbohydrate dephosphorylation","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Mtmr7",1
"GO:0061081","GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0071545","GO:0071545","inositol phosphate catabolic process","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Mtmr7",1
"GO:1903209","GO:1903209","positive regulation of oxidative stress-induced cell death","1/44","17/21092",0.0348909810510821,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0046330","GO:0046330","positive regulation of JNK cascade","2/44","143/21092",0.0358682670891754,0.264947071902701,0.229089573449704,"Map3k1/Map3k13",2
"GO:0006865","GO:0006865","amino acid transport","2/44","145/21092",0.0367861811666358,0.264947071902701,0.229089573449704,"Slc6a19/Ntrk2",2
"GO:0018196","GO:0018196","peptidyl-asparagine modification","1/44","18/21092",0.0369059180301446,0.264947071902701,0.229089573449704,"St6gal1",1
"GO:0030540","GO:0030540","female genitalia development","1/44","18/21092",0.0369059180301446,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0035855","GO:0035855","megakaryocyte development","1/44","18/21092",0.0369059180301446,0.264947071902701,0.229089573449704,"Rabgap1l",1
"GO:0044321","GO:0044321","response to leptin","1/44","18/21092",0.0369059180301446,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0046321","GO:0046321","positive regulation of fatty acid oxidation","1/44","18/21092",0.0369059180301446,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:1904754","GO:1904754","positive regulation of vascular associated smooth muscle cell migration","1/44","18/21092",0.0369059180301446,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:2000678","GO:2000678","negative regulation of transcription regulatory region DNA binding","1/44","18/21092",0.0369059180301446,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0042552","GO:0042552","myelination","2/44","146/21092",0.0372485429874386,0.264947071902701,0.229089573449704,"Ntrk2/Mbp",2
"GO:0055067","GO:0055067","monovalent inorganic cation homeostasis","2/44","146/21092",0.0372485429874386,0.264947071902701,0.229089573449704,"Slc4a10/Slc4a4",2
"GO:1901214","GO:1901214","regulation of neuron death","3/44","355/21092",0.0376891778396945,0.264947071902701,0.229089573449704,"Nr4a3/Fbxw7/Ntrk2",3
"GO:0046660","GO:0046660","female sex differentiation","2/44","147/21092",0.0377131600089754,0.264947071902701,0.229089573449704,"Lhfpl2/Chd7",2
"GO:2000058","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","2/44","148/21092",0.0381800212834072,0.264947071902701,0.229089573449704,"Fhit/Fbxw7",2
"GO:0007272","GO:0007272","ensheathment of neurons","2/44","149/21092",0.0386491158969049,0.264947071902701,0.229089573449704,"Ntrk2/Mbp",2
"GO:0008366","GO:0008366","axon ensheathment","2/44","149/21092",0.0386491158969049,0.264947071902701,0.229089573449704,"Ntrk2/Mbp",2
"GO:0003215","GO:0003215","cardiac right ventricle morphogenesis","1/44","19/21092",0.0389167436734341,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0014808","GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/44","19/21092",0.0389167436734341,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0035584","GO:0035584","calcium-mediated signaling using intracellular calcium source","1/44","19/21092",0.0389167436734341,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0035994","GO:0035994","response to muscle stretch","1/44","19/21092",0.0389167436734341,0.264947071902701,0.229089573449704,"Ankrd2",1
"GO:1900409","GO:1900409","positive regulation of cellular response to oxidative stress","1/44","19/21092",0.0389167436734341,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:1903214","GO:1903214","regulation of protein targeting to mitochondrion","1/44","19/21092",0.0389167436734341,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:2000104","GO:2000104","negative regulation of DNA-dependent DNA replication","1/44","19/21092",0.0389167436734341,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0007635","GO:0007635","chemosensory behavior","1/44","20/21092",0.0409234661751361,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0033033","GO:0033033","negative regulation of myeloid cell apoptotic process","1/44","20/21092",0.0409234661751361,0.264947071902701,0.229089573449704,"St6gal1",1
"GO:0060123","GO:0060123","regulation of growth hormone secretion","1/44","20/21092",0.0409234661751361,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0071157","GO:0071157","negative regulation of cell cycle arrest","1/44","20/21092",0.0409234661751361,0.264947071902701,0.229089573449704,"Cast",1
"GO:1903514","GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","1/44","20/21092",0.0409234661751361,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0021543","GO:0021543","pallium development","2/44","157/21092",0.0424809745049093,0.264947071902701,0.229089573449704,"Nr4a3/Ntrk2",2
"GO:0046174","GO:0046174","polyol catabolic process","1/44","21/21092",0.0429260937134947,0.264947071902701,0.229089573449704,"Mtmr7",1
"GO:0051450","GO:0051450","myoblast proliferation","1/44","21/21092",0.0429260937134947,0.264947071902701,0.229089573449704,"Ankrd2",1
"GO:2000209","GO:2000209","regulation of anoikis","1/44","21/21092",0.0429260937134947,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:0045333","GO:0045333","cellular respiration","2/44","160/21092",0.0439534694467934,0.264947071902701,0.229089573449704,"Nr4a3/Suclg2",2
"GO:0001654","GO:0001654","eye development","3/44","380/21092",0.0446350540489952,0.264947071902701,0.229089573449704,"Map3k1/Chd7/Ntrk2",3
"GO:0150063","GO:0150063","visual system development","3/44","380/21092",0.0446350540489952,0.264947071902701,0.229089573449704,"Map3k1/Chd7/Ntrk2",3
"GO:0033145","GO:0033145","positive regulation of intracellular steroid hormone receptor signaling pathway","1/44","22/21092",0.0449246344508403,0.264947071902701,0.229089573449704,"Ntrk2",1
"GO:1902884","GO:1902884","positive regulation of response to oxidative stress","1/44","22/21092",0.0449246344508403,0.264947071902701,0.229089573449704,"Fbxw7",1
"GO:0060041","GO:0060041","retina development in camera-type eye","2/44","162/21092",0.0449456752859003,0.264947071902701,0.229089573449704,"Chd7/Ntrk2",2
"GO:0048880","GO:0048880","sensory system development","3/44","383/21092",0.045508945404414,0.264947071902701,0.229089573449704,"Map3k1/Chd7/Ntrk2",3
"GO:0030252","GO:0030252","growth hormone secretion","1/44","23/21092",0.0469190965336196,0.264947071902701,0.229089573449704,"Chd7",1
"GO:0071870","GO:0071870","cellular response to catecholamine stimulus","1/44","23/21092",0.0469190965336196,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:1903204","GO:1903204","negative regulation of oxidative stress-induced neuron death","1/44","23/21092",0.0469190965336196,0.264947071902701,0.229089573449704,"Nr4a3",1
"GO:0007369","GO:0007369","gastrulation","2/44","169/21092",0.0484834994811698,0.264947071902701,0.229089573449704,"Nr4a3/Mbp",2
"GO:0035455","GO:0035455","response to interferon-alpha","1/44","24/21092",0.0489094880924273,0.264947071902701,0.229089573449704,"Bst2",1
"GO:0046856","GO:0046856","phosphatidylinositol dephosphorylation","1/44","24/21092",0.0489094880924273,0.264947071902701,0.229089573449704,"Mtmr7",1
