"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032609","GO:0032609","interferon-gamma production","7/92","121/21092",1.00481065804089e-06,0.00203574639319083,0.00172192815925322,"Cd226/Runx3/Azi2/Pde4b/Ccr2/Irf8/Il12rb1",7
"GO:0045123","GO:0045123","cellular extravasation","5/92","58/21092",5.40102550232087e-06,0.00547123883385104,0.00462782606198862,"Sell/Selplg/Ccl5/Abr/Ccr2",5
"GO:0032729","GO:0032729","positive regulation of interferon-gamma production","5/92","77/21092",2.18191119025394e-05,0.0147351735715149,0.0124636891850295,"Cd226/Pde4b/Ccr2/Irf8/Il12rb1",5
"GO:0030593","GO:0030593","neutrophil chemotaxis","5/92","102/21092",8.44306555548882e-05,0.0334644066643042,0.0283057380628083,"Sell/Itga9/Ccl5/Prex1/Pde4b",5
"GO:0050900","GO:0050900","leukocyte migration","8/92","328/21092",9.40836396493561e-05,0.0334644066643042,0.0283057380628083,"Sell/Selplg/Itga9/Ccl5/Abr/Prex1/Pde4b/Ccr2",8
"GO:0045744","GO:0045744","negative regulation of G protein-coupled receptor signaling pathway","4/92","57/21092",0.000112190713579325,0.0334644066643042,0.0283057380628083,"Rgs2/Ccl5/Adrb2/Pde4b",4
"GO:0032649","GO:0032649","regulation of interferon-gamma production","5/92","109/21092",0.000115622332996115,0.0334644066643042,0.0283057380628083,"Cd226/Pde4b/Ccr2/Irf8/Il12rb1",5
"GO:1990266","GO:1990266","neutrophil migration","5/92","119/21092",0.000174673787253105,0.0384482257157186,0.0325212819998908,"Sell/Itga9/Ccl5/Prex1/Pde4b",5
"GO:0050901","GO:0050901","leukocyte tethering or rolling","3/92","26/21092",0.000194154951533478,0.0384482257157186,0.0325212819998908,"Sell/Selplg/Ccr2",3
"GO:0071621","GO:0071621","granulocyte chemotaxis","5/92","125/21092",0.00021975091899442,0.0384482257157186,0.0325212819998908,"Sell/Itga9/Ccl5/Prex1/Pde4b",5
"GO:0097529","GO:0097529","myeloid leukocyte migration","6/92","199/21092",0.000237837743450459,0.0384482257157186,0.0325212819998908,"Sell/Itga9/Ccl5/Prex1/Pde4b/Ccr2",6
"GO:0061756","GO:0061756","leukocyte adhesion to vascular endothelial cell","3/92","29/21092",0.000270290488170683,0.0384482257157186,0.0325212819998908,"Sell/Selplg/Ccr2",3
"GO:0034110","GO:0034110","regulation of homotypic cell-cell adhesion","3/92","30/21092",0.000299376548628016,0.0384482257157186,0.0325212819998908,"Ccl5/Adrb2/Ank3",3
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","8/92","392/21092",0.000316679923257901,0.0384482257157186,0.0325212819998908,"Ccl5/Adrb2/Cited2/Runx3/Ank3/Btla/Ccr2/Il12rb1",8
"GO:0060326","GO:0060326","cell chemotaxis","7/92","298/21092",0.000329189102518993,0.0384482257157186,0.0325212819998908,"Sell/Itga9/Cxcr6/Ccl5/Prex1/Pde4b/Ccr2",7
"GO:0071875","GO:0071875","adrenergic receptor signaling pathway","3/92","31/21092",0.000330408499160373,0.0384482257157186,0.0325212819998908,"Rgs2/Adrb2/Pde4b",3
"GO:0030595","GO:0030595","leukocyte chemotaxis","6/92","212/21092",0.000333886709812251,0.0384482257157186,0.0325212819998908,"Sell/Itga9/Ccl5/Prex1/Pde4b/Ccr2",6
"GO:0045879","GO:0045879","negative regulation of smoothened signaling pathway","3/92","32/21092",0.000363440404943906,0.0384482257157186,0.0325212819998908,"Glis2/Sall3/Prkacb",3
"GO:0043547","GO:0043547","positive regulation of GTPase activity","6/92","218/21092",0.000387374310784033,0.0384482257157186,0.0325212819998908,"Ccl5/Chn2/Abr/Ralgapa2/Prex1/Wnt11",6
"GO:0045785","GO:0045785","positive regulation of cell adhesion","8/92","405/21092",0.000393567478643551,0.0384482257157186,0.0325212819998908,"Ccl5/Cited2/Runx3/Adgrg1/Ank3/Prex1/Ccr2/Il12rb1",8
"GO:0036230","GO:0036230","granulocyte activation","3/92","33/21092",0.000398525538020775,0.0384482257157186,0.0325212819998908,"Ccl5/Abr/Ccr2",3
"GO:0097530","GO:0097530","granulocyte migration","5/92","146/21092",0.000449890080782787,0.0414307865302694,0.0350440694504486,"Sell/Itga9/Ccl5/Prex1/Pde4b",5
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","7/92","317/21092",0.000476687931919681,0.0419899891334467,0.0355170687947479,"Sell/Selplg/Ccl5/Runx3/Btla/Ccr2/Il12rb1",7
"GO:0019932","GO:0019932","second-messenger-mediated signaling","8/92","430/21092",0.000584142360002633,0.0477240670962728,0.0403672163104547,"Siglecg/Rgs2/Cxcr6/Adrb2/Adgrg1/Ncald/Pde4b/Ccr2",8
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","6/92","236/21092",0.00058889520108925,0.0477240670962728,0.0403672163104547,"Ccl5/Cited2/Runx3/Ank3/Ccr2/Il12rb1",6
"GO:0001819","GO:0001819","positive regulation of cytokine production","8/92","435/21092",0.000630000723891411,0.0490915948693845,0.0415239343520331,"Cd226/Ccl5/Pde4b/Ccr2/Irf8/Il12rb1/Wnt11/Crtam",8
"GO:0002420","GO:0002420","natural killer cell mediated cytotoxicity directed against tumor cell target","2/92","10/21092",0.000827826837338689,0.0493287403661231,0.0417245229469779,"Cd226/Crtam",2
"GO:0002423","GO:0002423","natural killer cell mediated immune response to tumor cell","2/92","10/21092",0.000827826837338689,0.0493287403661231,0.0417245229469779,"Cd226/Crtam",2
"GO:0002855","GO:0002855","regulation of natural killer cell mediated immune response to tumor cell","2/92","10/21092",0.000827826837338689,0.0493287403661231,0.0417245229469779,"Cd226/Crtam",2
"GO:0002858","GO:0002858","regulation of natural killer cell mediated cytotoxicity directed against tumor cell target","2/92","10/21092",0.000827826837338689,0.0493287403661231,0.0417245229469779,"Cd226/Crtam",2
"GO:0006995","GO:0006995","cellular response to nitrogen starvation","2/92","10/21092",0.000827826837338689,0.0493287403661231,0.0417245229469779,"Atg7/Gabarapl2",2
"GO:0043301","GO:0043301","negative regulation of leukocyte degranulation","2/92","10/21092",0.000827826837338689,0.0493287403661231,0.0417245229469779,"Abr/Ccr2",2
"GO:0043562","GO:0043562","cellular response to nitrogen levels","2/92","10/21092",0.000827826837338689,0.0493287403661231,0.0417245229469779,"Atg7/Gabarapl2",2
"GO:0045602","GO:0045602","negative regulation of endothelial cell differentiation","2/92","10/21092",0.000827826837338689,0.0493287403661231,0.0417245229469779,"Xdh/Tgfbr1",2
"GO:0016202","GO:0016202","regulation of striated muscle tissue development","5/92","172/21092",0.000944204956080422,0.0543537238577682,0.0459748856655305,"Hdac7/Rgs2/Adrb2/Cited2/Tgfbr1",5
"GO:0086103","GO:0086103","G protein-coupled receptor signaling pathway involved in heart process","2/92","11/21092",0.00100891728498882,0.0543537238577682,0.0459748856655305,"Rgs2/Pde4b",2
"GO:0090594","GO:0090594","inflammatory response to wounding","2/92","11/21092",0.00100891728498882,0.0543537238577682,0.0459748856655305,"Siglecg/Ccr2",2
"GO:1901861","GO:1901861","regulation of muscle tissue development","5/92","175/21092",0.00102003943336265,0.0543537238577682,0.0459748856655305,"Hdac7/Rgs2/Adrb2/Cited2/Tgfbr1",5
"GO:0048634","GO:0048634","regulation of muscle organ development","5/92","176/21092",0.0010462957702137,0.0543537238577682,0.0459748856655305,"Hdac7/Rgs2/Adrb2/Cited2/Tgfbr1",5
"GO:0042110","GO:0042110","T cell activation","8/92","485/21092",0.00126936180259592,0.0642931753014832,0.0543821319638461,"Ccl5/Runx3/Azi2/Btla/Prex1/Batf/Ccr2/Il12rb1",8
"GO:0055119","GO:0055119","relaxation of cardiac muscle","2/92","13/21092",0.00142272331193297,0.0693336742832227,0.058645618399276,"Rgs2/Pde4b",2
"GO:0060412","GO:0060412","ventricular septum morphogenesis","3/92","51/21092",0.00143732197428201,0.0693336742832227,0.058645618399276,"Cited2/Tgfbr1/Wnt11",3
"GO:0002274","GO:0002274","myeloid leukocyte activation","5/92","195/21092",0.00164674882043774,0.0762116017448887,0.0644632865592969,"Cd226/Ccl5/Abr/Batf/Ccr2",5
"GO:0010820","GO:0010820","positive regulation of T cell chemotaxis","2/92","14/21092",0.00165513843868465,0.0762116017448887,0.0644632865592969,"Ccl5/Ccr2",2
"GO:0050866","GO:0050866","negative regulation of cell activation","5/92","197/21092",0.00172211257776576,0.0775333351678542,0.0655812696281325,"Adrb2/Runx3/Abr/Btla/Ccr2",5
"GO:0002697","GO:0002697","regulation of immune effector process","7/92","399/21092",0.00181455255764024,0.0799192061256333,0.067599349286918,"Siglecg/Cd226/Ccl5/Abr/Ccr2/Il12rb1/Crtam",7
"GO:0010819","GO:0010819","regulation of T cell chemotaxis","2/92","15/21092",0.00190436293642455,0.0809925385939075,0.0685072233755294,"Ccl5/Ccr2",2
"GO:0043087","GO:0043087","regulation of GTPase activity","6/92","297/21092",0.00191887554417945,0.0809925385939075,0.0685072233755294,"Ccl5/Chn2/Abr/Ralgapa2/Prex1/Wnt11",6
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","5/92","204/21092",0.00200592854958487,0.0829390049277335,0.0701536343442356,"Rgs2/Adrb2/Adgrg1/Prkacb/Pde4b",5
"GO:0002836","GO:0002836","positive regulation of response to tumor cell","2/92","16/21092",0.00217024896659626,0.0839941256202318,0.0710461040732256,"Cd226/Crtam",2
"GO:0002839","GO:0002839","positive regulation of immune response to tumor cell","2/92","16/21092",0.00217024896659626,0.0839941256202318,0.0710461040732256,"Cd226/Crtam",2
"GO:0032663","GO:0032663","regulation of interleukin-2 production","3/92","59/21092",0.00218806272277591,0.0839941256202318,0.0710461040732256,"Hdac7/Pde4b/Ccr2",3
